id,t_send,scope,segment,size_bucket,amount_rel,gc,outcome,t_decision
58,56,Mirrors,commercial,M,21,GC222,1,240
59,56,Windows,commercial,L,169,GC222,1,240
60,56,Windows,commercial,XL,541,GC160,0,
61,56,Shower Doors,commercial,L,240,GC160,0,
62,56,Mirrors,commercial,M,28.4,GC160,0,
63,57,Mirrors,commercial,M,33.5,GC117,0,
64,57,Windows,commercial,XL,618,GC117,0,
65,57,Shower Doors,commercial,L,207,GC117,0,
66,58,Mirrors,commercial,M,35.3,GC154,1,242
67,58,Windows,commercial,M,37.8,GC154,1,242
68,61,Windows,commercial,L,255,GC108,0,
69,61,Mirrors,commercial,S,10.4,GC108,0,
70,61,Windows,commercial,XL,410,GC213,0,
71,63,Windows,commercial,L,276,GC192,0,
72,63,Mirrors,commercial,M,35.4,GC192,0,
73,68,Mirrors,commercial,S,3.07,GC184,0,
74,68,Shower Doors,commercial,L,203,GC137,0,
75,68,Mirrors,commercial,M,57.6,GC137,0,
76,68,Windows,commercial,XL,1380,GC137,0,
77,71,Mirrors,commercial,L,104,GC046,1,119
78,71,Shower Doors,commercial,M,46.7,GC046,1,119
79,71,Windows,commercial,XL,449,GC046,1,119
80,72,Mirrors,commercial,S,15.3,GC097,0,
81,72,Windows,commercial,L,350,GC097,0,
82,72,Shower Doors,commercial,L,104,GC097,0,
83,75,Windows,commercial,S,11.2,GC023,1,259
84,75,Mirrors,commercial,M,37.8,GC097,0,
85,75,Windows,commercial,L,281,GC097,0,
86,75,Windows,commercial,M,43.6,GC227,0,
87,75,Shower Doors,commercial,S,7.44,GC227,0,
88,76,Shower Doors,commercial,M,18.7,GC108,0,
89,76,Mirrors,commercial,S,2.93,GC108,0,
90,76,Windows,commercial,M,30.2,GC108,0,
91,77,Mirrors,commercial,S,6.77,GC086,0,
92,78,Windows,commercial,M,56.3,GC199,0,
93,82,Mirrors,commercial,S,12,GC125,0,
94,83,Windows,commercial,L,170,GC034,1,267
95,83,Windows,commercial,XL,886,GC084,0,
96,83,Windows,commercial,S,10.6,GC133,0,
97,83,Mirrors,commercial,S,0.206,GC133,0,
98,85,Shower Doors,commercial,M,63.5,GC199,0,
99,85,Mirrors,commercial,S,14.6,GC199,0,
100,85,Windows,commercial,XL,437,GC199,0,
101,85,Mirrors,commercial,S,11,GC084,1,269
102,85,Windows,commercial,L,186,GC084,1,269
103,86,Windows,commercial,L,362,GC012,0,
104,86,Mirrors,commercial,M,19,GC012,0,
105,93,Mirrors,commercial,M,20.6,GC108,0,
106,93,Shower Doors,commercial,M,61,GC108,0,
107,93,Windows,commercial,L,303,GC108,0,
108,96,Mirrors,commercial,S,8.88,GC138,0,
109,96,Shower Doors,commercial,S,18.4,GC138,0,
110,96,Windows,commercial,L,75.1,GC087,0,
111,96,Shower Doors,commercial,S,12.9,GC102,0,
112,96,Mirrors,commercial,S,5.73,GC102,0,
113,96,Windows,commercial,L,146,GC102,0,
114,97,Windows,commercial,XL,493,GC051,0,
115,97,Mirrors,commercial,M,28.7,GC063,0,
116,98,Windows,commercial,L,163,GC051,0,
117,98,Mirrors,commercial,S,13.8,GC051,0,
118,98,Mirrors,commercial,M,29.7,GC108,0,
119,98,Shower Doors,commercial,M,23.7,GC108,0,
120,98,Windows,commercial,L,270,GC108,0,
121,98,Windows,commercial,S,1.6,GC052,0,
122,99,Mirrors,commercial,S,3.8,GC120,0,
123,103,Windows,commercial,XL,581,GC081,0,
124,103,Mirrors,commercial,S,2.23,GC145,0,
125,105,Windows,commercial,S,4.22,GC108,0,
126,105,Windows,commercial,L,254,GC123,0,
127,105,Mirrors,commercial,M,23.1,GC143,1,693
128,105,Windows,commercial,XL,401,GC143,0,
129,105,Windows,commercial,XL,1320,GC012,0,
130,105,Mirrors,commercial,M,53.1,GC012,0,
131,105,Shower Doors,commercial,XL,374,GC012,0,
132,107,Windows,commercial,XL,751,GC184,0,
133,107,Mirrors,commercial,M,34.4,GC184,0,
134,107,Windows,commercial,XL,401,GC222,0,
135,107,Mirrors,commercial,S,17.8,GC222,0,
136,110,Windows,commercial,XL,1360,GC123,0,
137,111,Mirrors,commercial,S,0.136,GC052,0,
138,111,Windows,commercial,L,133,GC052,1,294
139,111,Mirrors,commercial,M,55.2,GC014,0,
140,111,Windows,commercial,XL,616,GC014,0,
141,117,Mirrors,commercial,S,17.4,GC119,0,
142,117,Windows,commercial,L,336,GC119,0,
143,117,Windows,commercial,L,258,GC052,0,
144,117,Shower Doors,commercial,M,67.8,GC052,0,
145,117,Mirrors,commercial,S,18.1,GC052,0,
146,119,Windows,commercial,XL,2450,GC199,0,
147,124,Windows,commercial,XL,370,GC108,0,
148,124,Windows,commercial,S,17.6,GC052,0,
149,124,Mirrors,commercial,S,1.62,GC052,0,
150,124,Shower Doors,commercial,S,4.9,GC052,0,
151,125,Mirrors,commercial,M,22.4,GC087,1,309
152,125,Windows,commercial,L,135,GC087,0,
153,128,Windows,commercial,M,24,GC031,1,312
154,128,Shower Doors,commercial,L,161,GC131,0,
155,128,Windows,commercial,XL,1030,GC131,0,
156,128,Mirrors,commercial,L,74.4,GC131,0,
157,132,Mirrors,commercial,M,28.8,GC143,0,
158,132,Windows,commercial,XL,478,GC143,0,
159,132,Shower Doors,commercial,L,83,GC143,0,
160,133,Mirrors,commercial,M,36.8,GC108,1,244
161,133,Shower Doors,commercial,M,66.6,GC108,1,244
162,133,Windows,commercial,XL,757,GC108,1,244
163,133,Shower Doors,commercial,L,254,GC123,0,
164,133,Mirrors,commercial,L,77,GC123,0,
165,133,Windows,commercial,XL,1160,GC123,0,
166,133,Windows,commercial,XL,458,GC063,0,
167,135,Windows,commercial,XL,587,GC199,0,
168,135,Shower Doors,commercial,L,156,GC199,0,
169,138,Windows,commercial,L,99.1,GC163,1,322
170,138,Mirrors,commercial,S,7.56,GC163,0,
171,138,Windows,commercial,L,286,GC123,0,
172,138,Mirrors,commercial,M,29.2,GC123,0,
173,141,Mirrors,commercial,M,23.9,GC199,0,
174,141,Windows,commercial,XL,1150,GC199,0,
175,142,Mirrors,commercial,M,33.3,GC228,0,
176,142,Windows,commercial,XL,616,GC228,0,
177,146,Mirrors,commercial,S,15.1,GC108,0,
178,146,Windows,commercial,M,42.7,GC062,0,
179,146,Windows,commercial,L,214,GC143,0,
180,146,Mirrors,commercial,M,19,GC143,0,
181,146,Windows,commercial,XL,1060,GC063,0,
182,146,Mirrors,commercial,M,48.9,GC063,0,
183,146,Shower Doors,commercial,L,123,GC063,0,
184,146,Windows,commercial,L,134,GC160,0,
185,148,Shower Doors,commercial,L,129,GC084,0,
186,148,Windows,commercial,XL,721,GC084,0,
187,148,Mirrors,commercial,M,36.3,GC084,0,
188,152,Windows,commercial,L,168,GC123,0,
189,152,Windows,commercial,L,258,GC143,0,
190,152,Shower Doors,commercial,S,16.7,GC143,0,
191,152,Mirrors,commercial,M,23.6,GC143,0,
192,153,Mirrors,commercial,S,7.98,GC143,1,336
193,159,Windows,commercial,M,33.2,GC080,0,
194,159,Mirrors,commercial,S,2.73,GC080,0,
195,160,Mirrors,commercial,M,36.8,GC108,0,
196,160,Mirrors,commercial,S,14,GC145,0,
197,160,Windows,commercial,L,349,GC145,1,343
198,161,Windows,commercial,L,248,GC187,0,
199,161,Mirrors,commercial,M,21.7,GC187,0,
200,162,Windows,commercial,L,220,GC143,0,
201,162,Windows,commercial,XL,772,GC143,0,
202,162,Shower Doors,commercial,M,61.1,GC143,1,345
203,162,Mirrors,commercial,M,28.1,GC143,1,345
204,162,Windows,commercial,M,54.8,GC063,0,
205,162,Mirrors,commercial,S,9.33,GC063,0,
206,162,Shower Doors,commercial,S,13.4,GC063,0,
207,162,Mirrors,commercial,S,7.38,GC154,1,345
208,162,Mirrors,commercial,M,48.1,GC084,0,
209,162,Windows,commercial,XL,475,GC084,0,
210,166,Windows,commercial,L,221,GC109,0,
211,166,Mirrors,commercial,S,13.3,GC109,0,
212,167,Windows,commercial,L,239,GC143,0,
213,167,Mirrors,commercial,S,4.87,GC143,1,441
214,168,Windows,commercial,L,235,GC084,0,
215,169,Mirrors,commercial,M,21.6,GC051,1,352
216,169,Shower Doors,commercial,M,44.5,GC051,1,352
217,169,Windows,commercial,L,148,GC051,0,
218,169,Windows,commercial,S,8.56,GC157,0,
219,173,Shower Doors,commercial,L,131,GC199,1,260
220,173,Mirrors,commercial,M,48.5,GC199,0,
221,173,Windows,commercial,XL,1800,GC143,0,
222,173,Mirrors,commercial,M,70.8,GC012,0,
223,174,Mirrors,commercial,S,0.367,GC133,0,
224,174,Windows,commercial,S,5.18,GC133,0,
225,175,Mirrors,commercial,S,6.73,GC108,0,
226,175,Shower Doors,commercial,M,18.9,GC108,0,
227,175,Windows,commercial,L,326,GC108,0,
228,175,Windows,commercial,S,10.1,GC154,0,
229,175,Mirrors,commercial,M,27.1,GC145,0,
230,175,Windows,commercial,XL,654,GC145,0,
231,175,Shower Doors,commercial,L,84.5,GC145,0,
232,175,Windows,commercial,L,195,GC089,0,
233,177,Shower Doors,commercial,M,49.5,GC069,0,
234,177,Mirrors,commercial,M,50.6,GC069,0,
235,177,Windows,commercial,XL,600,GC069,0,
236,182,Mirrors,commercial,S,11.5,GC014,0,
237,182,Windows,commercial,XL,486,GC014,0,
238,182,Shower Doors,commercial,M,53.5,GC014,0,
239,183,Windows,commercial,M,42.8,GC102,0,
240,183,Mirrors,commercial,S,2.71,GC102,0,
241,183,Mirrors,commercial,M,55.6,GC001,1,367
242,184,Windows,commercial,XL,655,GC222,0,
243,184,Shower Doors,commercial,L,89.8,GC222,0,
244,184,Mirrors,commercial,M,56.8,GC222,0,
245,187,Windows,commercial,M,22.3,GC001,0,
246,187,Windows,commercial,XL,1940,GC131,0,
247,187,Mirrors,commercial,L,208,GC131,0,
248,188,Shower Doors,commercial,S,9.45,GC185,0,
249,188,Mirrors,commercial,S,4.57,GC185,0,
250,188,Windows,commercial,L,92.2,GC185,0,
251,188,Windows,commercial,L,221,GC012,0,
252,188,Mirrors,commercial,S,10.3,GC012,0,
253,188,Windows,commercial,M,32.2,GC195,0,
254,188,Mirrors,commercial,S,2.91,GC195,0,
255,189,Mirrors,commercial,S,8.6,GC119,0,
256,189,Windows,commercial,L,125,GC119,0,
257,190,Mirrors,commercial,M,37,GC123,0,
258,190,Windows,commercial,XL,682,GC123,0,
259,190,Shower Doors,commercial,M,19.3,GC123,0,
260,190,Mirrors,commercial,S,2.29,GC087,0,
261,190,Windows,commercial,M,33.9,GC087,0,
262,194,Mirrors,commercial,S,3.3,GC157,1,378
263,194,Shower Doors,commercial,S,0.687,GC157,1,378
264,194,Windows,commercial,S,1.64,GC157,1,378
265,194,Windows,commercial,M,62.6,GC160,1,378
266,194,Mirrors,commercial,S,2.03,GC160,0,
267,195,Windows,commercial,M,19.4,GC081,0,
268,195,Mirrors,commercial,M,24.7,GC081,0,
269,195,Mirrors,commercial,S,6.58,GC023,0,
270,196,Mirrors,commercial,S,10.4,GC108,0,
271,196,Windows,commercial,L,141,GC108,0,
272,196,Windows,commercial,S,14.9,GC087,0,
273,196,Mirrors,commercial,M,31,GC014,0,
274,196,Windows,commercial,XL,1060,GC014,0,
275,196,Mirrors,commercial,M,36.2,GC145,0,
276,196,Windows,commercial,XL,451,GC145,0,
277,196,Shower Doors,commercial,L,80.3,GC145,0,
278,196,Mirrors,commercial,S,4.35,GC227,0,
279,196,Windows,commercial,M,61.4,GC227,0,
280,198,Windows,commercial,S,15.7,GC108,1,382
281,198,Mirrors,commercial,S,1.58,GC108,1,382
282,202,Windows,commercial,XL,1060,GC199,0,
283,202,Shower Doors,commercial,L,229,GC199,0,
284,202,Mirrors,commercial,L,81.6,GC199,0,
285,202,Windows,commercial,L,88.3,GC046,0,
286,204,Windows,commercial,XL,1070,GC087,0,
287,204,Mirrors,commercial,M,49.5,GC087,0,
288,205,Mirrors,commercial,S,8.3,GC163,0,
289,205,Windows,commercial,M,43.6,GC163,0,
290,205,Windows,commercial,L,310,GC097,0,
291,205,Mirrors,commercial,S,7.32,GC097,0,
292,209,Mirrors,commercial,M,20.1,GC108,0,
293,209,Windows,commercial,XL,474,GC108,0,
294,209,Windows,commercial,S,12.8,GC177,0,
295,209,Mirrors,commercial,S,7.31,GC228,0,
296,209,Mirrors,commercial,S,1.1,GC184,0,
297,209,Windows,commercial,M,43.1,GC184,0,
298,209,Mirrors,commercial,M,29,GC207,1,440
299,209,Windows,commercial,L,301,GC207,0,
300,209,Mirrors,commercial,M,38.4,GC131,0,
301,209,Windows,commercial,XL,634,GC131,0,
302,209,Shower Doors,commercial,L,165,GC131,0,
303,210,Mirrors,commercial,M,20.5,GC108,0,
304,210,Shower Doors,commercial,M,37.2,GC108,0,
305,210,Windows,commercial,XL,403,GC108,0,
306,212,Shower Doors,commercial,S,17.1,GC108,0,
307,212,Windows,commercial,L,176,GC108,0,
308,212,Mirrors,commercial,S,7.68,GC108,0,
309,212,Mirrors,commercial,M,40.5,GC014,0,
310,212,Windows,commercial,XL,708,GC014,0,
311,215,Shower Doors,commercial,L,83.1,GC063,1,290
312,215,Windows,commercial,XL,621,GC160,1,290
313,215,Mirrors,commercial,S,3.76,GC160,1,290
314,218,Windows,commercial,L,135,GC184,1,378
315,218,Mirrors,commercial,S,7.38,GC184,1,378
316,218,Shower Doors,commercial,S,5.9,GC184,1,378
317,218,Shower Doors,commercial,L,132,GC052,0,
318,218,Mirrors,commercial,M,37.9,GC052,0,
319,218,Windows,commercial,L,209,GC052,0,
320,224,Windows,commercial,XL,373,GC108,0,
321,224,Mirrors,commercial,S,11.9,GC108,0,
322,225,Windows,commercial,XL,1430,GC199,0,
323,229,Windows,commercial,S,17.9,GC081,0,
324,229,Shower Doors,commercial,S,0.687,GC081,0,
325,229,Mirrors,commercial,S,0.867,GC081,0,
326,229,Windows,commercial,XL,1280,GC034,0,
327,230,Windows,commercial,M,28.7,GC211,0,
328,231,Windows,commercial,XL,873,GC108,0,
329,231,Windows,commercial,L,308,GC222,0,
330,231,Mirrors,commercial,S,17.6,GC222,0,
331,231,Windows,commercial,L,144,GC089,0,
332,231,Mirrors,commercial,S,6.04,GC089,0,
333,232,Mirrors,commercial,S,1.6,GC134,0,
334,232,Windows,commercial,M,26.8,GC134,0,
335,236,Windows,commercial,XL,536,GC081,0,
336,238,Mirrors,commercial,S,4.68,GC081,0,
337,238,Windows,commercial,M,63.4,GC081,1,555
338,238,Shower Doors,commercial,S,10.8,GC184,1,421
339,239,Mirrors,commercial,L,76.8,GC123,0,
340,239,Windows,commercial,XL,729,GC123,0,
341,245,Windows,commercial,L,193,GC108,0,
342,245,Shower Doors,commercial,M,29.7,GC108,0,
343,245,Mirrors,commercial,S,14.4,GC108,0,
344,246,Mirrors,commercial,S,0.641,GC081,0,
345,246,Windows,commercial,S,15.3,GC081,0,
346,246,Mirrors,commercial,M,61.3,GC046,0,
347,246,Shower Doors,commercial,L,157,GC046,0,
348,246,Windows,commercial,S,1.87,GC133,0,
349,247,Mirrors,commercial,M,25.7,GC084,0,
350,247,Windows,commercial,L,165,GC084,0,
351,247,Windows,commercial,XL,392,GC084,0,
352,247,Mirrors,commercial,S,10.7,GC084,0,
353,250,Windows,commercial,XL,611,GC199,0,
354,250,Shower Doors,commercial,L,195,GC199,0,
355,250,Mirrors,commercial,M,46.8,GC199,0,
356,250,Mirrors,commercial,S,5.94,GC143,0,
357,250,Windows,commercial,L,93.6,GC143,0,
358,251,Windows,commercial,M,38.8,GC087,0,
359,251,Mirrors,commercial,S,3.55,GC087,1,433
360,253,Windows,commercial,XL,1010,GC014,0,
361,253,Mirrors,commercial,M,41.5,GC014,0,
362,253,Shower Doors,commercial,M,57.6,GC014,0,
363,253,Mirrors,commercial,M,22.5,GC200,0,
364,253,Windows,commercial,XL,524,GC200,0,
365,254,Windows,commercial,L,148,GC051,0,
366,254,Mirrors,commercial,S,2.68,GC051,0,
367,258,Mirrors,commercial,S,13.2,GC143,0,
368,258,Windows,commercial,L,175,GC143,0,
369,258,Shower Doors,commercial,S,0.734,GC143,0,
370,260,Mirrors,commercial,L,148,GC022,0,
371,260,Windows,commercial,XL,720,GC022,0,
372,260,Shower Doors,commercial,L,209,GC022,0,
373,261,Mirrors,commercial,M,42.5,GC126,0,
374,261,Windows,commercial,XL,697,GC126,0,
375,261,Windows,commercial,L,235,GC097,0,
376,264,Windows,commercial,L,77.2,GC109,0,
377,264,Mirrors,commercial,S,2.7,GC109,0,
378,266,Windows,commercial,M,69.7,GC084,0,
379,266,Mirrors,commercial,S,2.36,GC084,0,
380,266,Mirrors,commercial,S,5.69,GC084,0,
381,266,Windows,commercial,L,134,GC084,0,
382,267,Windows,commercial,S,14.9,GC087,0,
383,267,Mirrors,commercial,S,12,GC012,0,
384,267,Windows,commercial,L,76.3,GC012,0,
385,268,Windows,commercial,L,101,GC187,0,
386,268,Shower Doors,commercial,M,21.7,GC187,0,
387,268,Mirrors,commercial,S,1.64,GC187,0,
388,272,Mirrors,commercial,S,4.2,GC133,0,
389,272,Windows,commercial,S,9.61,GC131,0,
390,274,Windows,commercial,S,4.8,GC052,0,
391,274,Windows,commercial,L,166,GC154,0,
392,274,Mirrors,commercial,M,30.3,GC154,0,
393,275,Mirrors,commercial,S,4.6,GC108,0,
394,275,Windows,commercial,L,81.5,GC108,0,
395,278,Mirrors,commercial,M,27,GC094,0,
396,278,Windows,commercial,XL,388,GC094,0,
397,286,Shower Doors,commercial,M,40.8,GC123,0,
398,286,Windows,commercial,L,122,GC123,0,
399,286,Mirrors,commercial,M,22.5,GC123,0,
400,286,Windows,commercial,XL,489,GC200,0,
401,286,Mirrors,commercial,M,33.1,GC200,0,
402,292,Shower Doors,commercial,M,22.4,GC108,0,
403,292,Windows,commercial,L,149,GC108,0,
404,292,Mirrors,commercial,M,34.9,GC108,0,
405,293,Windows,commercial,L,295,GC026,0,
406,293,Shower Doors,commercial,M,41,GC026,0,
407,293,Mirrors,commercial,S,13.9,GC026,0,
408,294,Windows,commercial,XL,803,GC087,1,378
409,294,Mirrors,commercial,M,48.1,GC087,1,378
410,295,Mirrors,commercial,M,24.6,GC108,0,
411,295,Shower Doors,commercial,M,35.6,GC108,0,
412,295,Windows,commercial,XL,605,GC108,0,
413,300,Mirrors,commercial,S,1.65,GC058,0,
414,300,Windows,commercial,M,25.4,GC058,0,
415,300,Mirrors,commercial,M,64.7,GC087,0,
416,300,Windows,commercial,XL,1140,GC087,1,378
417,302,Windows,commercial,L,227,GC040,0,
418,307,Windows,commercial,M,36.9,GC063,0,
419,307,Mirrors,commercial,S,2.27,GC063,0,
420,308,Mirrors,commercial,S,9.74,GC108,0,
421,308,Windows,commercial,L,201,GC108,1,457
422,308,Shower Doors,commercial,S,14.6,GC108,1,457
423,308,Windows,commercial,S,18.1,GC052,0,
424,308,Shower Doors,commercial,S,4.88,GC052,0,
425,308,Mirrors,commercial,S,1.56,GC052,0,
426,309,Windows,commercial,L,97.2,GC014,0,
427,309,Mirrors,commercial,S,5.26,GC109,0,
428,310,Mirrors,commercial,M,40.2,GC160,0,
429,310,Shower Doors,commercial,L,145,GC160,0,
430,310,Windows,commercial,XL,2350,GC131,0,
431,313,Windows,commercial,XL,855,GC201,1,348
432,314,Windows,commercial,S,9.59,GC026,0,
433,314,Mirrors,commercial,S,0.61,GC026,0,
434,314,Windows,commercial,M,25.9,GC087,0,
435,314,Mirrors,commercial,S,1.39,GC087,0,
436,315,Windows,commercial,M,64.9,GC109,0,
437,315,Mirrors,commercial,S,2.53,GC109,0,
438,316,Windows,commercial,XL,454,GC138,0,
439,316,Mirrors,commercial,M,35,GC138,0,
440,316,Windows,commercial,L,221,GC082,0,
441,316,Shower Doors,commercial,M,31.5,GC109,0,
442,316,Mirrors,commercial,S,9.68,GC109,0,
443,320,Windows,commercial,L,73.7,GC138,0,
444,320,Mirrors,commercial,S,1.78,GC138,0,
445,320,Windows,commercial,L,193,GC058,0,
446,320,Mirrors,commercial,S,10.3,GC058,0,
447,320,Shower Doors,commercial,M,21,GC058,1,380
448,321,Windows,commercial,M,73.3,GC199,0,
449,321,Mirrors,commercial,S,2.02,GC199,0,
450,321,Mirrors,commercial,S,9.13,GC087,0,
451,321,Shower Doors,commercial,S,5.53,GC082,0,
452,322,Mirrors,commercial,M,34.5,GC187,0,
453,322,Windows,commercial,L,275,GC187,0,
454,328,Windows,commercial,L,349,GC123,0,
455,328,Mirrors,commercial,S,12,GC123,0,
456,329,Mirrors,commercial,M,23,GC145,0,
457,329,Windows,commercial,XL,543,GC145,0,
458,329,Shower Doors,commercial,M,59,GC145,0,
459,330,Mirrors,commercial,S,5.84,GC084,1,414
460,330,Windows,commercial,M,68.2,GC084,0,
461,331,Mirrors,commercial,M,55.2,GC199,0,
462,331,Windows,commercial,XL,1350,GC014,0,
463,331,Shower Doors,commercial,L,210,GC014,0,
464,331,Mirrors,commercial,S,1.69,GC089,0,
465,331,Windows,commercial,M,21.6,GC089,1,699
466,336,Mirrors,commercial,L,149,GC039,0,
467,336,Windows,commercial,XL,663,GC039,0,
468,336,Shower Doors,commercial,L,226,GC039,0,
469,342,Mirrors,commercial,S,13.8,GC154,0,
470,342,Shower Doors,commercial,S,13.3,GC154,0,
471,342,Windows,commercial,L,154,GC154,0,
472,345,Windows,commercial,S,13.5,GC081,1,528
473,348,Mirrors,commercial,L,77.7,GC108,0,
474,348,Shower Doors,commercial,L,113,GC108,0,
475,348,Windows,commercial,XL,1050,GC108,0,
476,348,Mirrors,commercial,S,10.8,GC108,0,
477,348,Windows,commercial,XL,735,GC161,0,
478,348,Mirrors,commercial,M,53.3,GC161,0,
479,348,Windows,commercial,L,248,GC158,0,
480,348,Mirrors,commercial,M,19.5,GC158,0,
481,348,Windows,commercial,L,178,GC124,0,
482,348,Mirrors,commercial,S,3.1,GC124,0,
483,348,Windows,commercial,L,133,GC084,0,
484,349,Windows,commercial,S,11.2,GC081,1,532
485,349,Windows,commercial,XL,2260,GC014,0,
486,349,Mirrors,commercial,L,109,GC014,0,
487,351,Mirrors,commercial,S,8.37,GC046,0,
488,351,Windows,commercial,XL,370,GC046,0,
489,351,Shower Doors,commercial,S,9.6,GC046,0,
490,357,Windows,commercial,XL,638,GC158,0,
491,357,Mirrors,commercial,L,77.6,GC158,0,
492,363,Windows,commercial,XL,439,GC213,1,518
493,363,Mirrors,commercial,M,19.5,GC213,0,
494,370,Shower Doors,commercial,S,1.17,GC010,0,
495,370,Mirrors,commercial,S,2.24,GC010,0,
496,370,Shower Doors,commercial,S,7.56,GC029,0,
497,370,Mirrors,commercial,S,7.03,GC029,0,
498,370,Windows,commercial,M,41.1,GC029,0,
499,370,Windows,commercial,L,346,GC097,0,
500,372,Shower Doors,commercial,S,12.8,GC228,0,
501,372,Windows,commercial,XL,677,GC228,0,
502,372,Mirrors,commercial,M,36,GC228,0,
503,372,Windows,commercial,L,145,GC084,0,
504,372,Mirrors,commercial,M,38.8,GC084,0,
505,373,Windows,commercial,L,158,GC010,0,
506,373,Mirrors,commercial,M,22.7,GC046,0,
507,373,Windows,commercial,XL,556,GC046,0,
508,376,Windows,commercial,L,222,GC201,0,
509,376,Mirrors,commercial,S,16.3,GC201,0,
510,377,Mirrors,commercial,S,3.29,GC037,0,
511,377,Shower Doors,commercial,S,12.4,GC037,0,
512,377,Windows,commercial,L,76.4,GC037,0,
513,379,Windows,commercial,XL,550,GC184,0,
514,379,Mirrors,commercial,M,52.1,GC184,0,
515,380,Mirrors,commercial,M,57.1,GC123,0,
516,380,Windows,commercial,XL,695,GC123,0,
517,385,Mirrors,commercial,S,4.49,GC184,0,
518,385,Windows,commercial,M,67.6,GC184,0,
519,386,Mirrors,commercial,M,23.5,GC199,0,
520,386,Windows,commercial,L,357,GC213,0,
521,386,Shower Doors,commercial,L,208,GC194,0,
522,386,Mirrors,commercial,L,100,GC194,0,
523,386,Windows,commercial,XL,1260,GC194,0,
524,390,Windows,commercial,M,72,GC091,0,
525,390,Windows,commercial,M,46.2,GC041,0,
526,392,Mirrors,commercial,M,29.9,GC199,0,
527,392,Windows,commercial,XL,460,GC199,0,
528,392,Mirrors,commercial,M,29.2,GC108,0,
529,392,Mirrors,commercial,S,16.2,GC143,0,
530,392,Windows,commercial,L,299,GC143,0,
531,392,Windows,commercial,XL,396,GC131,0,
532,397,Shower Doors,commercial,S,10.9,GC102,0,
533,397,Windows,commercial,M,72.2,GC102,0,
534,397,Mirrors,commercial,S,2.02,GC102,0,
535,399,Mirrors,commercial,S,14.6,GC108,0,
536,399,Windows,commercial,L,162,GC108,0,
537,399,Windows,commercial,L,206,GC108,0,
538,400,Mirrors,commercial,S,13.1,GC010,0,
539,400,Windows,commercial,L,278,GC010,0,
540,400,Windows,commercial,XL,403,GC087,0,
541,400,Mirrors,commercial,M,22.2,GC087,1,432
